tile,x,y,model,text_lines,dimensions,codes,geology
"page01_tile0000_x00000_y00000.png",0,0,qwen-vl-ocr,"3д4 | 1 | 2 | 200 | 140 | 30 | 30 | 50 | 200 | 200","200 | 140 | 30","",""
"page01_tile0001_x00900_y00000.png",900,0,qwen-vl-ocr,"3д4 | Разрез | 2 | 1 | 200 | 30 | 140 | 12 | 240 | 1 | 200 | 50","200 | 200 | 50","","No text found"
"page01_tile0002_x01800_y00000.png",1800,0,qwen-vl-ocr,"рез 1-1 | 200 | 140 30 | 2 | ГОСТ 14098-2014-Т2-Рф","","","No text found"
"page01_tile0003_x02700_y00000.png",2700,0,qwen-vl-ocr,"Спе | Марка | Поз. | изделия | 1 | 2 | 3","","",""
"page01_tile0004_x03600_y00000.png",3600,0,qwen-vl-ocr,"пецификация на 3д4, 3д5, 3д6 | Наименование | Кол. | Масса | 1 дет. | кг | Полоса 200x12 ГОСТ 103-2006 L=700 | 1 | 13,19 | 12 - A500C L= 240 | 8 | 0,213 | Полоса 200x12 ГОСТ 103-2006 L=400 | 1 | 7,54","","C245 ГОСТ 27772-2021",""
"page01_tile0005_x03915_y00000.png",3915,0,qwen-vl-ocr,"ция на 3д4, 3д5, 3д6 | Именование | Кол. | Масса 1 дет., кг | Масса изделия, кг | ГОСТ 103-2006 | L=700 | 1 | 13,19 | 14,89 | ГОСТ 103-2006 | L=240 | 8 | 0,213 | ГОСТ 103-2006 | L=400 | 1 | 7,54 | 9.91","","C245 ГОСТ 27772-2021",""
"page01_tile0005_x04500_y00000.png",4500,0,qwen-vl-ocr,"ЗЕНКОВАННОЕ ОТВ. | 1 | Ø1300 | Ø1400 | Ø1600","","","No text found"
"page01_tile0006_x00000_y00900.png",0,900,qwen-vl-ocr,"50 | 200 | 200 | 700 | 3д5 | 3 | 2 | 200 | 140 | 30","","",""
"page01_tile0006_x05400_y00000.png",5400,0,qwen-vl-ocr,"Спецификация на | Марка | Поз. | Наименова | изделия | 1 | Болт 1.1 М30x900 09Г2С-6 Г | А1 | 2 | Уголок | 50x5 ГОСТ 850 | С245 ГОСТ 2777 | 3 | Уголок | 50x5 ГОСТ 850 | С245 ГОСТ 2777 | 4 | Болт 1.1. М20x600 09Г2С-6 Г | 3д1 | 5 | Лист 20x1450 | ГОСТ 1990 | С245 ГОСТ 27","","",""
"page01_tile0007_x00900_y00900.png",900,900,qwen-vl-ocr,"200 | 700 | 200 | 50 | 1 | 3д5 | 2 | Разрез | 240 | 12 | 3 | 200 | 30 | 140","200 | 700 | 200 | 50","","3d5"
