mark,quantity,source
Рсм1,13,ведомость_сметчика
Рсм2,1,ведомость_сметчика
БФм1,2,ведомость_сметчика
БФм2,1,ведомость_сметчика
БФм3,1,ведомость_сметчика
БФм4,4,ведомость_сметчика
БФм5,1,ведомость_сметчика
БФм6,1,ведомость_сметчика
БФм7,2,ведомость_сметчика
БФм8,4,ведомость_сметчика
БФм9,4,ведомость_сметчика
БФм10,2,ведомость_сметчика
БФм11,2,ведомость_сметчика
БФм12,2,ведомость_сметчика
БФм13,2,ведомость_сметчика
БФм14,3,ведомость_сметчика
БФм15,1,ведомость_сметчика
БФм16,2,ведомость_сметчика
БФм17,2,ведомость_сметчика
БФм16А,1,ведомость_сметчика
ФОм1,1,ведомость_сметчика
ФОм2,1,ведомость_сметчика
ФОм3,1,ведомость_сметчика
ФОм4,1,ведомость_сметчика
ФОм5,2,ведомость_сметчика
ФОм5а,2,ведомость_сметчика
КП4,2,ведомость_сметчика
КП5,3,ведомость_сметчика
КП6,3,ведомость_сметчика
Зд1,1,ведомость_сметчика
СБН12-450,14,ведомость_сметчика
