№ п/п;Код;Наименование;Ед.изм;Количество;Объем;Примечание
;;ВЕДОМОСТЬ ОБЪЁМОВ РАБОТ;;;;
;;Раздел. Буронабивные сваи;;;;
1;Е4-1;Бетонирование свай СБН12-450;м³;1;;См. формулу на чертеже
;Е2-196;  Бурение скважин D=450мм;м³;1;1.91;1.909×1
;Е4-48;  Установка арматурных каркасов;шт;1;~0.23 т;120 кг/м³
;;  Бетон В25;м³;;1.94;С учётом расхода 1.015
;Е2-120;  Выбурка грунта;м³;1;2.19;1.15×V
;;Раздел. Ростверки;;;;
2;Е4-1;Устройство ростверка Рсм1 L=4300;м³;1;;См. формулу на чертеже
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
3;Е4-1;Устройство ростверка Рсм2 L=4300;м³;1;;См. формулу на чертеже
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
;;Раздел. Фундаментные балки;;;;
4;Е4-1;Устройство фундаментной балки БФм1 L=4300;м³;1;;См. формулу на чертеже
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
5;Е4-1;Устройство фундаментной балки БФм10 L=4710;м³;1;;См. формулу на чертеже
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
6;Е4-1;Устройство фундаментной балки БФм11 L=4710;м³;1;;См. формулу на чертеже
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
7;Е4-1;Устройство фундаментной балки БФм12 L=4710;м³;1;;См. формулу на чертеже
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
