№ п/п;Код;Наименование;Ед.изм;Количество;Объем;Примечание
;;ВЕДОМОСТЬ ОБЪЁМОВ РАБОТ;;;;
;;Раздел. Буронабивные сваи;;;;
1;Е4-1;Бетонирование свай СБН12-450;м³;14;;См. формулу на чертеже (ref)
;Е2-196;  Бурение скважин D=450мм;м³;14;26.72;1.909×14
;Е4-48;  Установка арматурных каркасов;шт;14;~3.21 т;120 кг/м³
;;  Бетон В25;м³;;27.12;С учётом расхода 1.015
;Е2-120;  Выбурка грунта;м³;14;30.73;1.15×V
;;Раздел. Ростверки;;;;
2;Е4-1;Устройство ростверка Рсм1;м³;13;;См. формулу на чертеже (ref)
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
3;Е4-1;Устройство ростверка Рсм2;м³;1;;См. формулу на чертеже (ref)
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
;;Раздел. Фундаментные балки;;;;
4;Е4-1;Устройство фундаментной балки БФм1;м³;2;;См. формулу на чертеже (ref)
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
5;Е4-1;Устройство фундаментной балки БФм10;м³;2;;См. формулу на чертеже (ref)
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
6;Е4-1;Устройство фундаментной балки БФм11;м³;2;;См. формулу на чертеже (ref)
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
7;Е4-1;Устройство фундаментной балки БФм12;м³;2;;См. формулу на чертеже (ref)
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
