tile,x,y,model,text_lines,dimensions,codes,geology
"page01_tile0000_x00000_y00000.png",0,0,qwen-vl-ocr,"Ведомость раб | Лист | 1 Ситуационный план. Общ | 2 Схема расположения сква | 3 Схема расположения свай","","","No text found"
"page01_tile0001_x00900_y00000.png",900,0,qwen-vl-ocr,"","","",""
"page01_tile0002_x01800_y00000.png",1800,0,qwen-vl-ocr,"ного комплекта | Примечание | И | зрез 3-3*","","",""
"page01_tile0003_x02700_y00000.png",2700,0,qwen-vl-ocr,"Ведомость основных | Обозначение | 440.02723.150200.1.6-ЮК1 | Участок дро | Фундаменть | 440.02723.150200.1.6-ЮК2 | Участок дро | Фундаменть | 440.02723.150200.1.6-ЮК3 | Участок дро","","",""
"page01_tile0004_x03600_y00000.png",3600,0,qwen-vl-ocr,"ых комплектов рабочих чер | Наименование | ок дробления и временного складирования электролита. | менты под каркас здания. | ок дробления и временного складирования электролита. | менты под оборудование. | ок дробления и временного складирования электролита.","","","No text found"
"page01_tile0005_x04500_y00000.png",4500,0,qwen-vl-ocr,"пертежей | Примечание | 5 ЗА | Защ | 2.03 | Отк | окра | кор | сталь","","",""
"page01_tile0006_x05400_y00000.png",5400,0,qwen-vl-ocr,"","","",""
"page01_tile0007_x06300_y00000.png",6300,0,qwen-vl-ocr,"тлять в соответствии с требованиями СП 28.13330.2017 " | оррозии". | пающие части фундаментных болтов после монтажа долж | 30.2017 (СНиП 2.03.11-85 "Защита строительных констру | ь окрашены Эмалью ХС 5132 ТУ6-10-11-19-12-79 наноситс | 6-10-1117-75. Общая толщина слоев не менее 160 мкм. Вс","","",""
"page01_tile0008_x07200_y00000.png",7200,0,qwen-vl-ocr,"Общие указания | 1 ИСХОДНЫЕ ДАННЫЕ | Комплект рабочих чертежей марки | временного складирования электр | Настоящий комплект является ада | Гуйянским алюминиево-магниевым | Aluminum & Magnesium Design Inst | - заданием на проектировани | 2017 "СНиП | должны быть | онструкций от | осится на | 1км. Возможна","","",""
"page01_tile0009_x08100_y00000.png",8100,0,qwen-vl-ocr,"ИЯ | марки КЖ5 по объекту "Отделение переработки электроли | лектролита. Пристройки. Фундаменты" | ся адаптированной под нормы РФ версией рабочей докуме | иевым научно-исследовательским и проектно-конструкторо | n Institute Co Ltd - сокращённо GAMI), в соответствии с: | ование, выданным АО "РУСАЛ ВАМИ" в соответствии с до","","",""
"page01_tile0010_x08853_y00000.png",8853,0,qwen-vl-ocr,"тки электролита (ОПЭ) Участок дробления и | абочей документации, разработанной | о-конструкторским институтом (Guiyang | ветствии с: | ответствии с договором № 027-23-ПА между","","",""
"page01_tile0011_x00000_y00900.png",0,900,qwen-vl-ocr,"3 Схема расположения сваи | 4 Схемы расположения рос | 5 Схема расположения фун | 6 Сваи буронабивные СБн1 | 7 Ростверки Рсм1, Рсм2 | 8 Фундаменты ФОм1, ФОм2 | 9 Фундаменты ФОм3, ФОм4 | 10 Фундаменты ФОм5, ФОм5 | 11 Балки БФм1, БФм2, БФм3 | 12 Балки БФм4, БФм5, БФм6 | 13 Балки БФм7, БФм8, БФм9","","",""
"page01_tile0012_x00900_y00900.png",900,900,qwen-vl-ocr,"я ростверков и фундаментов. Узел 1 | я фундаментных балок | СБн12-450, СБн14-450 | 2 | ФОм2 | ФОм4 | ФОм5а | 5Фм3 | 5Фм6 | 5Фм9","","",""
