tile,x,y,model,text_lines,dimensions,codes,geology
"page01_tile0000_x00000_y00000.png",0,0,qwen-vl-ocr,"Анодно-монтажное | отделение (АМО)","","","No text found"
"page01_tile0001_x00900_y00000.png",900,0,qwen-vl-ocr,"220 | 3660 | 820 | 496 | 20 | 380 | 20 | 10e | O)","220 | 3660 | 820 | 496 | 20 | 380 | 20","",""
"page01_tile0002_x01800_y00000.png",1800,0,qwen-vl-ocr,"4960 | 220 | 20","","",""
"page01_tile0003_x02700_y00000.png",2700,0,qwen-vl-ocr,"","","",""
"page01_tile0004_x03600_y00000.png",3600,0,qwen-vl-ocr,"Схема располож | 220 | 20 | 556 | БФМ","","","No text found"
"page01_tile0005_x04500_y00000.png",4500,0,qwen-vl-ocr,"ожения фундаментных ба | см. 440.02723.150200.1.6-КЖ1 | 5560 | БФМ9 | 220 | 220 | 5560 | 20 | 20 | БФМ9","","",""
"page01_tile0006_x05400_y00000.png",5400,0,qwen-vl-ocr,"балок | 220 | 220 | 5560 | 220 | 20 | 20 | БФМ9 | 20","5560","","No text found"
"page01_tile0007_x06300_y00000.png",6300,0,qwen-vl-ocr,"","","",""
"page01_tile0008_x07200_y00000.png",7200,0,qwen-vl-ocr,"","","",""
"page01_tile0009_x08100_y00000.png",8100,0,qwen-vl-ocr,"20 | 220 | 20 | 5560 | 220 | 20 | 220 | 20","5560","",""
"page01_tile0010_x09000_y00000.png",9000,0,qwen-vl-ocr,"5560 | 220 | 220 | 2110 | 20 | 20","","","No text found"
"page01_tile0011_x09317_y00000.png",9317,0,qwen-vl-ocr,"","","",""
"page01_tile0012_x00000_y00900.png",0,900,qwen-vl-ocr,"отделение (АМО) | A | A | 0A | 1 | 420 | 700 | 420 | 20 | 20 | БФМЗ | 4880 | 4460 | 20 | ОВ","4880 | 4460 | 700 | 420 | 420","",""
"page01_tile0013_x00900_y00900.png",900,900,qwen-vl-ocr,"БФ | 300 | 200 | 100 | БФМ6 | 450 | БФМ4 | 4460 | 20 | 300 | ФМ3","420 | 4460","","No text found"
"page01_tile0014_x01800_y00900.png",1800,900,qwen-vl-ocr,"БФМ5 | 420 | 300 | 4460 | 420 | 100 | 200 | БФМ4 | 4460 | 7500 | 5960 | 1 | 2 | 20","420 | 420 | 20","","2"
"page01_tile0015_x02700_y00900.png",2700,900,qwen-vl-ocr,"БФМ9 | 700 | 300 | 5560 | 20 | 220 | 200 | 100 | 100 | 200 | 220","","","No text found"
"page01_tile0016_x03600_y00900.png",3600,900,qwen-vl-ocr,"20 | 220 | 20 | 5960 | 420 | 700 | 20 | 4460 | 200 | 100 | 3450 | Проем 740x1150 | (2 шт.) см. примеч. п. 8","420 | 700 | 20 | 200 | 100 | 300","","No text found"
"page01_tile0017_x04500_y00900.png",4500,900,qwen-vl-ocr,"1830° | 400° | 1000° | 800 | 300 | Проем 1000x1000 | 240° | -1,150* | -1,000* | 3750 | cm. примеч. п. 8 | -1,00 | 2250 | 300 | 150 | 150","1830° | 400° | 1000° | 800 | 300 | 240° | -1,150* | -1,000* | 3750","","1"
"page01_tile0018_x05400_y00900.png",5400,900,qwen-vl-ocr,"1000 | 450 | 740 | 1830 | 300 | 4700 | 150 | 150 | 2250 | 300 | 100 | 20 | -1,000 | -1,150 | 3450","1000 | 450 | 740 | 1830 | 300 | 4700 | 150 | 150 | 2250 | 300 | 100 | 20","",""
"page01_tile0019_x06300_y00900.png",6300,900,qwen-vl-ocr,"","","",""
"page01_tile0020_x07200_y00900.png",7200,900,qwen-vl-ocr,"20 | 5360 | 320 | 20 | 150 | 150 | 600* 1000* | Провем | см. примеч. п. 8 | БФМ16 | БФМ14 | 150 | 150","5360 | 320 | 20","",""
"page01_tile0021_x08100_y00900.png",8100,900,qwen-vl-ocr,"БФМ13 | 1000* | 850 | 300 | 850 | 300 | 16 | 14 | 4450 | 4450 | БФМ14 | 150 | 150 | 150","4450","","F-100"
"page01_tile0022_x09000_y00900.png",9000,900,qwen-vl-ocr,"БФМ13 | 600° 1950° | БФМ17 | 700 | 300 | 850 | 90° | 300 | 5400 | Проем | СМ.ПРИМЕЧ.П.8 | 300 | 1400 | БФМ14 | 4450 | 5400 | 150 | 150 | БФМ15","5400 | 300 | 1400 | 150 | 150","",""
"page01_tile0023_x09317_y00900.png",9317,900,qwen-vl-ocr,"1950 | 1080 | 90° | 850 | БФМ17 | 700 | 300 | 6700 | 5400 | 1400 | 150 | БФМ14 | 4450 | 150","1950 | 1080 | 90° | 850 | 700 | 300 | 6700 | 5400 | 1400 | 150","",""
"page01_tile0024_x00000_y01800.png",0,1800,qwen-vl-ocr,"ОВ | БФМ1 | Анодно-монтажное | отделение (АМО)","","","No text found"
