№ п/п;Код;Наименование;Ед.изм;Количество;Объем
;;ВЕДОМОСТЬ ОБЪЁМОВ РАБОТ;;;
;;Буронабивные сваи;;;
1;Е2-196;Бурение скважин D=450мм, L=12м (СБН12-450);м³;6;11.45
2;Е4-48;Установка арматурных каркасов свай СБН12-450;шт;6;~1.374 т
3;Е4-1;Бетонирование свай СБН12-450;м³;6;11.45
4;Е2-120;Выбурка грунта (СБН12-450);м³;6;13.17
5;Е2-196;Бурение скважин D=450мм, L=14м (СБН14-450);м³;6;13.36
6;Е4-48;Установка арматурных каркасов свай СБН14-450;шт;6;~1.603 т
7;Е4-1;Бетонирование свай СБН14-450;м³;6;13.36
8;Е2-120;Выбурка грунта (СБН14-450);м³;6;15.36
;;ИТОГО:;;12;Бетон: 24.81 м³ | Арм.: 2.977 т | Выбурка: 28.53 м³
